movieId,title,genres,,,,,,,,,,,,,,,,,,,,,,
165,Internet of things,Medium|Hard|ICT,,,,,,,,,,,,,,,,,,,,,,
166,Algebra for OL part 2 (Includes AL Maths) - (Hard),OL|Hard|AL,,,,,,,,,,,,,,,,,,,,,,
167,General IT Paper Discussion 2015,AL,,,,,,,,,,,,,,,,,,,,,,
168,Magenatic Fields,Medium|AL|Easy,,,,,,,,,,,,,,,,,,,,,,
169,Key Signatures - AL - Higher Maths - Music,HigherMaths|WM|AL,,,,,,,,,,,,,,,,,,,,,,
170,Real Numbers,Medium|HigherMaths|Hard|ICT,,,,,,,,,,,,,,,,,,,,,,
171,Algerbra for OL and AL students (Includes all streams),OL|AL,,,,,,,,,,,,,,,,,,,,,,
172,Applied Maths with ICT - Medium - AL,Medium|Applied|ICT,,,,,,,,,,,,,,,,,,,,,,
173,Vectors and Coplaner Force Systems - AL - (Hard),Medium|Hard|Applied,,,,,,,,,,,,,,,,,,,,,,
174,Geometry - OL,OL,,,,,,,,,,,,,,,,,,,,,,
175,General IT - Paper Discussion 2015,AL,,,,,,,,,,,,,,,,,,,,,,
176,Geometry part 2 - OL,OL,,,,,,,,,,,,,,,,,,,,,,
177,Calculus for dummies,Pure,,,,,,,,,,,,,,,,,,,,,,
178,General English for OL and AL students,OL|AL,,,,,,,,,,,,,,,,,,,,,,
179,General English - Punctuation - AL (Easy),AL|Easy,,,,,,,,,,,,,,,,,,,,,,
180,General English - Punctuation - OL (Easy),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
181,Alto and Tenor Clefs Transposing - Western Music - AL,Medium|WM,,,,,,,,,,,,,,,,,,,,,,
183,Logic Gate Questions Discussed - OL,OL|Pure|ICT,,,,,,,,,,,,,,,,,,,,,,
184,Getting a high z-score - AL,AL,,,,,,,,,,,,,,,,,,,,,,
185,ICT in Business,Medium|Hard|ICT,,,,,,,,,,,,,,,,,,,,,,
186,Ancient Civilizations of sri lanka - OL - (Easy),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
187,World War 2 - OL ,OL,,,,,,,,,,,,,,,,,,,,,,
188,Posts transactions to the ledger using prime 10 93 entry books - Accounting - AL,Accounting|Pure|BusinessS,,,,,,,,,,,,,,,,,,,,,,
189,Analyses Accounting and its need,OL|Accounting,,,,,,,,,,,,,,,,,,,,,,
190,Internet of Things explained - ICT,ICT,,,,,,,,,,,,,,,,,,,,,,
191,General English - AL (Easy),AL|Easy,,,,,,,,,,,,,,,,,,,,,,
193,How to prepare for ALs during the last month,AL,,,,,,,,,,,,,,,,,,,,,,
194,Using To Dos to get things done ,OL|AL,,,,,,,,,,,,,,,,,,,,,,
195,Using To Dos to get things done part 2,OL|AL|Easy,,,,,,,,,,,,,,,,,,,,,,
196,Combined Mathematics Introduction - AL,Pure|Applied,,,,,,,,,,,,,,,,,,,,,,
198,Vectors and Coplaner Force Systems - AL - (Medium),Medium|Hard|AL|BusinessS|Applied|ICT,,,,,,,,,,,,,,,,,,,,,,
199,AL - History (Easy) - Paper Discussion Model Paper 1,AL|History|Easy,,,,,,,,,,,,,,,,,,,,,,
200,Velocity-Time Curves,ICT,,,,,,,,,,,,,,,,,,,,,,
201,Statistics,AL|Accounting,,,,,,,,,,,,,,,,,,,,,,
202,Rectilinear Motion,AL|Easy,,,,,,,,,,,,,,,,,,,,,,
203,Relative motion and Circular motion,OL,,,,,,,,,,,,,,,,,,,,,,
204,Introduction for applied maths,Medium,,,,,,,,,,,,,,,,,,,,,,
205,Hacking your brain to Study longer,OL|AL,,,,,,,,,,,,,,,,,,,,,,
206,The story of Hitler,Documentary,,,,,,,,,,,,,,,,,,,,,,
207,General IT - The computer System,AL|Easy,,,,,,,,,,,,,,,,,,,,,,
208,Probability Questions with Higher Mathematics - Medium - AL ,Medium|HigherMaths|Applied,,,,,,,,,,,,,,,,,,,,,,
209,General IT Paper Discussion 2016,AL,,,,,,,,,,,,,,,,,,,,,,
211,General IT Paper Discussion 2017,AL,,,,,,,,,,,,,,,,,,,,,,
213,General IT Paper Discussion 2018,AL,,,,,,,,,,,,,,,,,,,,,,
214,Fun with physics,AL|Physics,,,,,,,,,,,,,,,,,,,,,,
215,General English - Prepositions - AL (Easy),AL|Easy,,,,,,,,,,,,,,,,,,,,,,
216,General English - Prepositions - OL,OL,,,,,,,,,,,,,,,,,,,,,,
217,Networking Questions - AL - ICT ,AL|ICT,,,,,,,,,,,,,,,,,,,,,,
218,Surviving in Education - OL - AL,OL|AL,,,,,,,,,,,,,,,,,,,,,,
219,General English - essay writing - AL,AL,,,,,,,,,,,,,,,,,,,,,,
220,Integration Explained - AL - Pure,Pure,,,,,,,,,,,,,,,,,,,,,,
222,General English - Grammer Lesson - AL - (Easy),AL|Easy,,,,,,,,,,,,,,,,,,,,,,
223,Prehistoric Era - History - OL,OL,,,,,,,,,,,,,,,,,,,,,,
224,General Mathematics - OL - AL - (Easy),OL|AL|Easy,,,,,,,,,,,,,,,,,,,,,,
225,Hexa-decimal System - AL - ICT,AL|ICT,,,,,,,,,,,,,,,,,,,,,,
227,Fundamentals of Digital Circuits,Medium|ICT,,,,,,,,,,,,,,,,,,,,,,
228,The history of Soviet Union - OL,OL,,,,,,,,,,,,,,,,,,,,,,
229,Binary. Number System - AL - ICT,AL|ICT,,,,,,,,,,,,,,,,,,,,,,
230,Decimal NUmber System - AL - ICT,AL|ICT,,,,,,,,,,,,,,,,,,,,,,
231,Calculus in higher maths - OL - Higher Maths,HigherMaths|OL,,,,,,,,,,,,,,,,,,,,,,
232,General English Paper Discussion  2016,OL|AL|Easy,,,,,,,,,,,,,,,,,,,,,,
233,General IT Paper Discussion 2018,AL,,,,,,,,,,,,,,,,,,,,,,
234,The dutch Invasion - OL,OL,,,,,,,,,,,,,,,,,,,,,,
235,How to study for 8 hours straight,OL|AL,,,,,,,,,,,,,,,,,,,,,,
236,Introduction for ICT,Medium|OL|Easy,,,,,,,,,,,,,,,,,,,,,,
237,Circles - Maths - (Easy),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
238,Quadratic Expression - Higher Maths,HigherMaths|WM,,,,,,,,,,,,,,,,,,,,,,
239,Sri Lankan Music (OL) - Western Music - (Easy) - Sinhala Medium,Sinhala|WM|OL|Easy,,,,,,,,,,,,,,,,,,,,,,
240,Networking - ICT,ICT,,,,,,,,,,,,,,,,,,,,,,
241,Sri Lankan Music - Western Music - AL,WM|AL,,,,,,,,,,,,,,,,,,,,,,
242,History of the Sri Lankan Government - History - AL,AL|History,,,,,,,,,,,,,,,,,,,,,,
243,Baroque Period - Western Music - OL,WM|OL|Accounting,,,,,,,,,,,,,,,,,,,,,,
244,Orchestral Music - western Music - Sinhala medium,Sinhala|WM,,,,,,,,,,,,,,,,,,,,,,
245,Calculus - AL - (Hard),Hard|AL,,,,,,,,,,,,,,,,,,,,,,
246,2020 Island First - Maths Stream - (Her story),Documentary,,,,,,,,,,,,,,,,,,,,,,
247,Quadratic Expressions - AL - (Hard),Hard|AL,,,,,,,,,,,,,,,,,,,,,,
248,General English - OL,OL,,,,,,,,,,,,,,,,,,,,,,
249,General English Paper Discussion 2017,AL|Easy,,,,,,,,,,,,,,,,,,,,,,
250,Recorder Lesson 1 - OL - Western Music,WM|OL,,,,,,,,,,,,,,,,,,,,,,
251,Introduction for applied maths,Medium,,,,,,,,,,,,,,,,,,,,,,
252,Shapes and their angles - OL - (Easy),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
253,How to draw graphs with differentiation - AL - Pure,AL|Pure,,,,,,,,,,,,,,,,,,,,,,
254,General IT Paper Discussion 2018,AL,,,,,,,,,,,,,,,,,,,,,,
255,General English Paper Discussion 2019,OL,,,,,,,,,,,,,,,,,,,,,,
256,Applied Mathematics for OL Students ,OL|Applied,,,,,,,,,,,,,,,,,,,,,,
257,Social responsibilities and business ethics ,BusinessS|ICT,,,,,,,,,,,,,,,,,,,,,,
258,"Gödel, Escher, Bach Book discussion - OL - Higher Maths - WM - IT",HigherMaths|WM|OL|Accounting|Easy,,,,,,,,,,,,,,,,,,,,,,
259,How Networks work - AL - ICT - (Hard),Hard|AL|ICT,,,,,,,,,,,,,,,,,,,,,,
260,Probability Questions with Higher Mathematics part 2- Medium - AL ,Medium|HigherMaths|Applied,,,,,,,,,,,,,,,,,,,,,,
261,General IT Paper Discussion 2019,AL,,,,,,,,,,,,,,,,,,,,,,
262,Composing Music Part 2- AL (Western Music),WM|AL,,,,,,,,,,,,,,,,,,,,,,
263,General IT Paper Discussion 2020,AL,,,,,,,,,,,,,,,,,,,,,,
264,General IT Paper Discussion 2021,AL,,,,,,,,,,,,,,,,,,,,,,
265,Analyses Accounting and its need - AL - Accounting - (Easy),AL|Accounting|Easy,,,,,,,,,,,,,,,,,,,,,,
266,Applications of physics in the Industry - AL - Physics - (Easy),AL|Easy|Physics|Econ,,,,,,,,,,,,,,,,,,,,,,
267,Real Numbers - OL - Maths,OL,,,,,,,,,,,,,,,,,,,,,,
268,General English - Paper Discussion 2011 - AL - (Hard),Hard|AL,,,,,,,,,,,,,,,,,,,,,,
269,General English - Paper Discussion 2011 - AL ,AL,,,,,,,,,,,,,,,,,,,,,,
270,General English - Paper Discussion 2011 - AL - (Easy),AL|Easy,,,,,,,,,,,,,,,,,,,,,,
271,General English - Paper Discussion 2012 - AL ,AL,,,,,,,,,,,,,,,,,,,,,,
272,General Knowledge for OL and AL Students Lesson 2,OL|AL,,,,,,,,,,,,,,,,,,,,,,
273,Combined Maths Paper discussion 2012,AL|Pure|Applied,,,,,,,,,,,,,,,,,,,,,,
274,Getting 9As - Island First's Story (2010) - OL,OL,,,,,,,,,,,,,,,,,,,,,,
275,Getting 9As - Island First's Story (2011) - OL,OL,,,,,,,,,,,,,,,,,,,,,,
276,Poetry Creation - OL - (Easy),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
277,General English - Lesson 1,AL,,,,,,,,,,,,,,,,,,,,,,
278,Getting Started with OLs,OL,,,,,,,,,,,,,,,,,,,,,,
279,Getting started with ALs,AL,,,,,,,,,,,,,,,,,,,,,,
280,Arduino Circuits - AL - ICT,AL|ICT,,,,,,,,,,,,,,,,,,,,,,
281,General Knowledge for OL and AL Students Lesson 2 - (Easy),OL|AL|Easy,,,,,,,,,,,,,,,,,,,,,,
282,General Knowledge Paper Discussion 2013 - AL,AL,,,,,,,,,,,,,,,,,,,,,,
283,General IT Programming - AL - (Hard),Hard|AL,,,,,,,,,,,,,,,,,,,,,,
285,Complex Numbers - AL - Pure,AL|Pure,,,,,,,,,,,,,,,,,,,,,,
287,Chemical Basis of Life - OL - (Easy),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
288,Database management systerm,Medium|Hard|ICT,,,,,,,,,,,,,,,,,,,,,,
289,Motion in a straight Line - OL - (Easy),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
290,General English Poetry Writing - AL - (Hard),Hard|AL,,,,,,,,,,,,,,,,,,,,,,
291,web development HTML/CSS - AL (ICT),AL|ICT,,,,,,,,,,,,,,,,,,,,,,
292,Newtons Law of Motion and Impulse - AL - (Medium),Medium|AL|Applied|ICT,,,,,,,,,,,,,,,,,,,,,,
293,Newton's laws of Motion and Impulse,Medium|Hard|AL|ICT,,,,,,,,,,,,,,,,,,,,,,
294,Velocity-Time Curves,OL|Easy,,,,,,,,,,,,,,,,,,,,,,
295,Statistics,OL|Easy,,,,,,,,,,,,,,,,,,,,,,
296,Rectilinear Motion,OL|Hard|AL|ICT,,,,,,,,,,,,,,,,,,,,,,
299,Relative motion and Circular motion,AL,,,,,,,,,,,,,,,,,,,,,,
300,Equilibrium of Smooth Rigid Bodies,AL,,,,,,,,,,,,,,,,,,,,,,
301,General English Verbs - AL - (Easy),AL|Easy,,,,,,,,,,,,,,,,,,,,,,
302,General English Constructing Questions - AL - (Easy),AL|Easy,,,,,,,,,,,,,,,,,,,,,,
303,Inquries the Basics Economics Problems,Medium|ICT|Econ,,,,,,,,,,,,,,,,,,,,,,
304,Basics of English - OL - AL,OL|AL,,,,,,,,,,,,,,,,,,,,,,
305,Getting above 90 for OL Maths - OL,OL,,,,,,,,,,,,,,,,,,,,,,
306,Getting through ALs - AL,AL,,,,,,,,,,,,,,,,,,,,,,
307,Kanban Method to getting work done - AL,AL,,,,,,,,,,,,,,,,,,,,,,
308,Kanban Method to getting work done - OL - AL,OL|AL,,,,,,,,,,,,,,,,,,,,,,
309,Spaced Practice Study Method - AL,AL,,,,,,,,,,,,,,,,,,,,,,
312,Spaced Practice Study Method - OL,OL,,,,,,,,,,,,,,,,,,,,,,
313,Sri Lankan Traditional Music - Sinhala - Western Music,Sinhala|WM,,,,,,,,,,,,,,,,,,,,,,
314,Sri Lankan Music - AL - Western Music,WM|AL|Accounting|BusinessS,,,,,,,,,,,,,,,,,,,,,,
315,web development HTML/CSS - AL - (Medium),Medium|AL|ICT,,,,,,,,,,,,,,,,,,,,,,
316,Probability Questions with Higher Mathematics part 3- Medium - AL ,Medium|HigherMaths|Applied,,,,,,,,,,,,,,,,,,,,,,
317,Analyses Accounting and its need  - OL - AL,OL|AL|Accounting,,,,,,,,,,,,,,,,,,,,,,
318,General IT Programming with Java - AL - (Hard),Hard|AL,,,,,,,,,,,,,,,,,,,,,,
319,Introduction to Programming - OL - AL,OL|AL|ICT,,,,,,,,,,,,,,,,,,,,,,
320,How a computer works,Film-Noir|ICT,,,,,,,,,,,,,,,,,,,,,,
321,PQ4R Study Method - AL,AL,,,,,,,,,,,,,,,,,,,,,,
322,PQ4R Study Method - OL - AL,OL|AL,,,,,,,,,,,,,,,,,,,,,,
324,PQ4R Study Method Part 2 - OL - AL,OL|AL,,,,,,,,,,,,,,,,,,,,,,
325,!0 tips study smarter for OL students,OL,,,,,,,,,,,,,,,,,,,,,,
326,!0 tips study smarter for AL students,AL,,,,,,,,,,,,,,,,,,,,,,
327,Applied Mathematics for OL Students (Advanced),Medium|OL|Applied,,,,,,,,,,,,,,,,,,,,,,
